(158,177,241)
(162,177,246)
(164,174,246)
(162,169,246)
(166,166,242)
(174,169,242)
(172,167,241)
(166,170,242)
(156,170,241)
(142,167,236)
(126,164,231)
(110,167,231)
(119,170,239)
(135,156,230)
(156,159,236)
(172,161,242)
(159,161,241)
(121,159,233)
(106,156,228)
(124,153,228)
(134,153,230)
(137,156,233)
(146,159,234)
(154,159,231)
(156,154,225)
(159,153,220)
(161,151,217)
(154,148,215)
(146,143,210)
(142,146,218)
(134,143,215)
(124,140,215)
(124,140,215)
(129,143,214)
(135,145,210)
(142,145,209)
(145,143,210)
(143,140,214)
(145,145,222)
(146,146,220)
(142,143,214)
(138,142,206)
(135,145,204)
(132,146,201)
(129,145,199)
(116,135,190)
(113,132,190)
(103,116,180)
(87,92,164)
(74,66,148)
(70,54,138)
(70,46,138)
(71,41,132)
(76,39,126)
(76,42,121)
(66,41,118)
(52,36,110)
(39,33,98)
(36,34,97)
(41,42,97)
(52,47,98)
(49,34,87)
(55,34,86)
(62,34,87)
(65,39,89)
(65,39,89)
(60,36,86)
(47,31,79)
(42,28,74)
(47,28,76)
(52,38,81)
(55,41,82)
(49,41,74)
(41,38,70)
(42,39,71)
(47,38,78)
(55,36,84)
(63,34,94)
(65,31,94)
(71,28,97)
(73,33,94)
(73,39,92)
(68,41,84)
(62,38,71)
(58,33,62)
(82,42,74)
(89,46,78)
(89,49,81)
(78,46,76)
(65,38,71)
(50,31,63)
(46,28,62)
(44,30,63)
(54,42,76)
(52,46,76)
(54,44,74)
(52,39,66)
(52,36,63)
(55,38,63)
(55,34,60)
(47,30,62)
(39,33,73)
(44,36,86)
(57,42,95)
(71,47,108)
(81,47,119)
(84,49,127)
(84,47,135)
(76,47,142)
(62,42,138)
(55,44,142)
(54,46,143)
